Start,End,Antecedent,Consequent,Support,Confidence,Lift
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Idle Mean=bin0, Destination Port=80}",Total Fwd Packets=bin0,47,0.98,124.42
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=80, Flow Duration=bin0}",Total Fwd Packets=bin0,2299,1.00,2.59
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=80}",Flow Duration=bin0,2299,0.96,2.50
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=80}",Total Fwd Packets=bin0,2386,1.00,2.50
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=80}",Total Fwd Packets=bin0,2361,1.00,2.53
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=80}",Total Fwd Packets=bin0,2392,1.00,2.49
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Destination Port=80}",Total Backward Packets=bin0,2769,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Backward Packets=bin0, Destination Port=80}",Total Fwd Packets=bin0,2769,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Total Backward Packets=bin0, Destination Port=80, Idle Mean=bin0}",Total Fwd Packets=bin0,2378,1.00,2.50
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Destination Port=80}",Total Backward Packets=bin0,2378,1.00,2.50
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Total Backward Packets=bin0, Destination Port=80}",Total Fwd Packets=bin0,2762,1.00,2.16
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Total Backward Packets=bin0, Destination Port=80}",Total Fwd Packets=bin0,2741,1.00,2.17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=80}",Total Backward Packets=bin0,2741,0.99,2.16
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Active Mean=bin0, Destination Port=80}",Total Backward Packets=bin0,2768,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Backward Packets=bin0, Destination Port=80}",Total Fwd Packets=bin0,2768,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=80}",Total Fwd Packets=bin0,2776,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=80}",Total Fwd Packets=bin0,2770,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Bwd Packets=bin0, Destination Port=80}",Total Backward Packets=bin0,2774,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Idle Mean=bin0, Destination Port=80, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,2389,1.00,2.50
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Bwd Packets=bin0, Destination Port=80}",Total Fwd Packets=bin0,2774,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Total Length of Bwd Packets=bin0, Destination Port=80}",Total Fwd Packets=bin0,2767,1.00,2.16
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Flow Duration=bin4, Idle Mean=bin0}",PSH Flag Count=1,100,0.90,2.79
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Idle Mean=bin0}",Flow Duration=bin0,245,12.25,298.60
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Idle Mean=bin0, Active Mean=bin0}",Flow Duration=bin0,1675,0.92,3.28
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1}",Total Backward Packets=bin0,1903,0.99,3.11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Backward Packets=bin0}",Total Fwd Packets=bin0,1903,0.99,3.11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Backward Packets=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,1665,0.99,3.57
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Fwd Packets=bin0, Flow Duration=bin0}",Total Backward Packets=bin0,1665,0.99,3.57
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Backward Packets=bin0, Active Mean=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,1667,0.99,3.56
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Active Mean=bin0, Flow Duration=bin0}",Total Backward Packets=bin0,1667,0.99,3.56
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Total Length of Fwd Packets=bin0}",Total Backward Packets=bin0,1890,0.99,3.13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Backward Packets=bin0}",Total Fwd Packets=bin0,1890,0.99,3.13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Active Mean=bin0}",Total Backward Packets=bin0,1896,0.99,3.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Backward Packets=bin0, Active Mean=bin0}",Total Fwd Packets=bin0,1896,0.99,3.13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Backward Packets=bin0, Active Mean=bin0}",Total Fwd Packets=bin0,1865,0.99,3.18
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Fwd Packets=bin0, Active Mean=bin0}",Total Backward Packets=bin0,1865,0.98,3.14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Backward Packets=bin0, Idle Mean=bin0}",Total Fwd Packets=bin0,1847,0.99,3.21
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Fwd Packets=bin0, Idle Mean=bin0}",Total Backward Packets=bin0,1847,0.99,3.21
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443}",Total Backward Packets=bin0,420,0.98,13.92
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443}",Total Backward Packets=bin0,413,0.98,14.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Active Mean=bin0}",Total Backward Packets=bin0,391,0.98,15.04
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Active Mean=bin0}",Total Backward Packets=bin0,413,0.98,14.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Idle Mean=bin0, Active Mean=bin0, Flow Duration=bin0}",Total Backward Packets=bin0,1563,0.93,3.55
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Idle Mean=bin0}",Total Backward Packets=bin0,1873,0.99,3.17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Idle Mean=bin0}",Total Backward Packets=bin0,376,0.98,15.59
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Idle Mean=bin0}",Total Backward Packets=bin0,1862,1.00,3.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1}",Total Backward Packets=bin0,1905,0.99,3.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Active Mean=bin0}",Total Backward Packets=bin0,1880,0.99,3.14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Active Mean=bin0}",Total Backward Packets=bin0,1911,0.99,3.11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Flow Duration=bin4, Active Mean=bin0}",Total Fwd Packets=bin0,88,1.04,70.26
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443}",Total Fwd Packets=bin0,421,0.98,13.92
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Flow Duration=bin0}",Total Fwd Packets=bin0,269,0.99,21.96
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Flow Duration=bin0}",Total Fwd Packets=bin0,268,0.99,22.04
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Active Mean=bin0}",Total Fwd Packets=bin0,414,0.98,14.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443}",Total Fwd Packets=bin0,415,0.99,14.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Idle Mean=bin0}",Total Fwd Packets=bin0,1874,1.00,3.17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Idle Mean=bin0}",Total Fwd Packets=bin0,377,0.98,15.59
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Idle Mean=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,248,1.01,24.28
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Idle Mean=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,1681,1.00,3.54
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Idle Mean=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,1673,1.00,3.56
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Idle Mean=bin0, Active Mean=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,1677,1.00,3.55
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Idle Mean=bin0}",Total Fwd Packets=bin0,1863,1.00,3.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Idle Mean=bin0, Active Mean=bin0}",Total Fwd Packets=bin0,1816,1.00,3.28
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Idle Mean=bin0, Active Mean=bin0}",Total Fwd Packets=bin0,1867,1.00,3.18
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443}",Total Backward Packets=bin0,416,0.99,14.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Total Backward Packets=bin0}",Total Fwd Packets=bin0,416,0.99,14.22
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Total Backward Packets=bin0}",Total Fwd Packets=bin0,409,0.99,14.46
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Total Fwd Packets=bin0}",Total Backward Packets=bin0,409,0.99,14.39
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Total Backward Packets=bin0, Active Mean=bin0}",Total Fwd Packets=bin0,409,0.99,14.46
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Active Mean=bin0}",Total Backward Packets=bin0,409,0.99,14.43
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Total Backward Packets=bin0, Idle Mean=bin0}",Total Fwd Packets=bin0,372,0.99,15.88
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Idle Mean=bin0}",Total Backward Packets=bin0,372,0.99,15.84
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1}",Total Fwd Packets=bin0,1906,1.00,3.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Active Mean=bin0}",Total Fwd Packets=bin0,1912,0.99,3.11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Active Mean=bin0}",Total Fwd Packets=bin0,1900,1.00,3.14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Length of Bwd Packets=bin0, Flow Duration=bin0}",Total Backward Packets=bin0,1677,1.00,3.55
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Length of Bwd Packets=bin0, Active Mean=bin0, Flow Duration=bin0}",Total Backward Packets=bin0,1673,1.00,3.56
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,1913,1.00,3.11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Active Mean=bin0, Flow Duration=bin4, Total Length of Bwd Packets=bin0}",PSH Flag Count=1,133,9.50,29.40
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,416,1.00,14.32
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,1900,1.00,3.13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Length of Bwd Packets=bin0, Active Mean=bin0}",Total Fwd Packets=bin0,1906,1.00,3.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Length of Bwd Packets=bin0, Active Mean=bin0}",Total Fwd Packets=bin0,1894,1.00,3.14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,1912,1.00,3.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,415,1.00,14.36
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,1675,1.00,3.56
2017-07-07 03:30:00,2017-07-07 04:00:00,"{PSH Flag Count=1, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0, Idle Mean=bin0}",Total Fwd Packets=bin0,1865,1.00,3.20
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Idle Mean=bin0, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,1865,1.00,3.20
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, PSH Flag Count=1, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,1899,1.00,3.14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, PSH Flag Count=1, Total Length of Bwd Packets=bin0, Active Mean=bin0}",Total Backward Packets=bin0,1905,1.00,3.13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Backward Packets=bin0, Idle Mean=bin2}",Total Fwd Packets=bin0,302,1.00,19.71
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Idle Mean=bin0, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,578,1.00,10.30
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Flow Duration=bin0}",Total Backward Packets=bin0,469,0.99,12.65
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=443, Flow Duration=bin0}",Total Backward Packets=bin0,465,0.99,12.76
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Flow Duration=bin0}",Total Backward Packets=bin0,468,0.99,12.68
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Idle Mean=bin0}",Total Backward Packets=bin0,591,0.98,9.95
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Idle Mean=bin0}",Total Backward Packets=bin0,585,0.99,10.09
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443}",Total Backward Packets=bin0,647,0.99,9.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,625,0.97,9.23
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,649,0.99,9.08
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,644,0.98,9.06
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,635,0.98,9.22
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,637,0.98,9.16
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,629,0.98,9.30
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Total Length of Bwd Packets=bin0, Idle Mean=bin0}",Total Fwd Packets=bin0,579,1.00,10.30
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Idle Mean=bin0, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,572,1.00,10.42
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,643,1.00,9.27
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,634,1.00,9.40
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,636,1.00,9.38
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Flow Duration=bin0}",Total Fwd Packets=bin0,469,0.99,12.65
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=443, Flow Duration=bin0}",Total Fwd Packets=bin0,465,0.99,12.76
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Flow Duration=bin0}",Total Fwd Packets=bin0,468,0.99,12.68
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Idle Mean=bin0}",Total Fwd Packets=bin0,592,0.99,9.95
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Idle Mean=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,464,0.99,12.73
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Idle Mean=bin0, Flow Duration=bin0}",Total Fwd Packets=bin0,463,0.99,12.76
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Idle Mean=bin0}",Total Fwd Packets=bin0,585,0.99,10.09
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Idle Mean=bin0}",Total Fwd Packets=bin0,586,0.99,10.09
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Destination Port=443}",Total Backward Packets=bin0,647,0.98,9.09
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Total Backward Packets=bin0}",Total Fwd Packets=bin0,647,0.99,9.10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Destination Port=443, Idle Mean=bin0}",Total Backward Packets=bin0,575,0.97,10.09
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination Port=443, Total Backward Packets=bin0, Idle Mean=bin0}",Total Fwd Packets=bin0,575,0.97,10.10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Total Backward Packets=bin0, Idle Mean=bin0}",Total Fwd Packets=bin0,570,0.97,10.21
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Total Fwd Packets=bin0, Idle Mean=bin0}",Total Backward Packets=bin0,570,0.97,10.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Destination Port=443, Total Length of Fwd Packets=bin0}",Total Backward Packets=bin0,638,0.98,9.22
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Total Backward Packets=bin0}",Total Fwd Packets=bin0,638,0.99,9.23
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=443, Total Backward Packets=bin0}",Total Fwd Packets=bin0,616,0.99,9.56
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=443, Total Fwd Packets=bin0}",Total Backward Packets=bin0,616,0.96,9.32
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Active Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,640,0.98,9.19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Backward Packets=bin0}",Total Fwd Packets=bin0,640,0.99,9.20
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443}",Total Fwd Packets=bin0,648,0.99,9.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443}",Total Fwd Packets=bin0,650,0.99,9.08
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=443}",Total Fwd Packets=bin0,641,0.99,9.23
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443, Flow Duration=bin1, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,18,0.95,314.32
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Active Mean=bin0, Flow Duration=bin4, Total Length of Bwd Packets=bin0}",Destination Port=443,108,7.71,69.07
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Flow Duration=bin4, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,108,0.99,54.79
2017-07-07 03:30:00,2017-07-07 04:00:00,"{ACK Flag Count=1, Flow Duration=bin4, Total Length of Fwd Packets=bin0}",Destination Port=443,18,0.90,8.06
2017-07-07 03:30:00,2017-07-07 04:00:00,"{ACK Flag Count=1, Flow Duration=bin4, SYN Flag Count=1, Total Length of Fwd Packets=bin0}",Destination Port=443,11,0.92,8.21
2017-07-07 03:30:00,2017-07-07 04:00:00,"{ACK Flag Count=1, Total Length of Bwd Packets=bin0, Destination Port=80}",Total Backward Packets=bin0,1339,1.00,4.45
2017-07-07 03:30:00,2017-07-07 04:00:00,"{ACK Flag Count=1, Active Mean=bin0, Total Length of Bwd Packets=bin0, Destination Port=80}",Total Backward Packets=bin0,1338,1.00,4.46
2017-07-07 03:30:00,2017-07-07 04:00:00,"{ACK Flag Count=1, Total Length of Bwd Packets=bin0, Destination Port=80}",Total Fwd Packets=bin0,1339,1.00,4.45
2017-07-07 03:30:00,2017-07-07 04:00:00,"{ACK Flag Count=1, Total Length of Fwd Packets=bin0, Idle Mean=bin0}",Flow Duration=bin0,1888,0.99,3.13
