Start,End,ClosedPattern,Support
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Backward Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=172.217.6.194}",11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination IP=172.217.6.194, Destination Port=443, Total Length of Bwd Packets=bin0, Total Backward Packets=bin0}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=195.142.107.70}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=195.142.107.75}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Backward Packets=bin0, Destination IP=64.210.147.100}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=64.210.147.100}",10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=64.210.147.100}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Backward Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=64.210.147.100}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=23.10.108.151, Total Backward Packets=bin0}",13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Total Length of Fwd Packets=bin1, Destination Port=443}",14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Length of Fwd Packets=bin1}",10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Flow Duration=bin4, Destination Port=443, Total Backward Packets=bin0, Total Length of Fwd Packets=bin1}",13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Backward Packets=bin0, Total Length of Fwd Packets=bin1}",14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin1}",10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Destination Port=443, Total Length of Fwd Packets=bin1, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0}",13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin1, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0}",14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin1}",14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin1, Destination Port=443}",15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=178.124.129.16}",15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=68.67.178.132}",16
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Destination IP=178.124.129.12}",21
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=178.124.129.12}",18
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=178.124.129.12}",19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Fwd Packets=bin0, Destination IP=178.124.129.12}",21
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin0, Destination IP=178.124.129.12}",22
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Destination IP=172.217.12.130, Total Backward Packets=bin0}",13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Destination IP=172.217.12.130, Total Backward Packets=bin0}",26
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=172.217.12.130}",13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=172.217.12.130, Total Backward Packets=bin0}",26
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=172.217.12.130}",26
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Destination IP=31.13.80.2, Total Backward Packets=bin0}",27
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=31.13.80.2, Total Backward Packets=bin0}",27
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=31.13.80.2}",27
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin3, Destination Port=443}",79
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=162.213.33.50}",82
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin1, Flow Duration=bin3, Destination Port=443}",29
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin1, Destination Port=443}",84
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=199.244.48.55}",234
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Destination Port=443, Idle Mean=bin2}",205
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Idle Mean=bin2}",291
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin2, Destination Port=443}",346
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin2, Destination Port=443}",345
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Destination Port=443}",639
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Destination Port=443}",638
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Destination Port=443}",2506
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Idle Mean=bin0, Destination Port=443}",3337
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Idle Mean=bin0, Destination Port=443}",420
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Idle Mean=bin0, Destination Port=443}",419
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Idle Mean=bin0, Destination Port=443}",2584
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443}",2571
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=443}",3335
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=443}",3688
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Destination IP=23.10.108.151, Total Length of Fwd Packets=bin0}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination IP=151.101.129.5, Active Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Destination IP=192.83.254.182, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=192.83.254.182, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=192.83.254.182, Total Length of Fwd Packets=bin0}",14
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination IP=192.83.254.182, Total Length of Fwd Packets=bin0, Destination Port=443, Active Mean=bin0}",15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=31.13.80.36, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Destination IP=172.217.12.130, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Destination IP=172.217.12.130, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",24
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=172.217.12.130, Total Length of Fwd Packets=bin0}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=172.217.12.130, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",24
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Destination IP=172.217.12.130, Total Length of Fwd Packets=bin0}",11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=172.217.12.130, Total Length of Fwd Packets=bin0}",24
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Destination IP=31.13.80.2, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",26
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=31.13.80.2, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",26
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Destination IP=31.13.80.2, Total Length of Fwd Packets=bin0}",20
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Destination IP=31.13.80.2, Total Length of Fwd Packets=bin0}",26
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Destination IP=69.172.216.56, Total Length of Fwd Packets=bin0}",32
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Destination IP=199.59.88.242, Active Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",44
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Destination IP=69.172.216.55, Total Length of Fwd Packets=bin0}",66
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin3, Total Length of Fwd Packets=bin0, Destination Port=443}",78
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin3, Idle Mean=bin1, Destination Port=443, Total Length of Fwd Packets=bin0}",28
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin1, Total Length of Fwd Packets=bin0, Destination Port=443}",81
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin2, Destination Port=443, Idle Mean=bin2, Total Length of Fwd Packets=bin0}",86
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Destination Port=443, Idle Mean=bin2, Total Length of Fwd Packets=bin0}",202
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin0, Destination Port=443, Idle Mean=bin2}",288
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin2, Total Length of Fwd Packets=bin0, Destination Port=443}",345
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin2, Total Length of Fwd Packets=bin0, Destination Port=443}",344
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Total Length of Fwd Packets=bin0, Destination Port=443}",618
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Active Mean=bin0, Total Length of Fwd Packets=bin0, Destination Port=443}",617
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443}",3318
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin3, Idle Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin0}",50
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443}",404
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Idle Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin0}",403
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443}",2582
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin0}",2504
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443}",3316
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Destination Port=443, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",2435
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Total Backward Packets=bin0, Destination Port=443, Idle Mean=bin0}",3304
